ANIO;MES;AREA;ESTRATO;LLAVE_PANEL;CONGLOMERADO;MUESTRA;SELVIV;HOGAR;C201;C203;C204;C205;C206;C207;C208;C300n;NROINF;C301_DIA;C301_MES;C301_ANIO;C303;C304;C305;C306_1;C306_2;C306_3;C306_4;C306_5;C306_6;C306_7;C306_8;C306_9;C306_10;C306_10A;C306_11;C306A;C308_COD;C309_COD;C310;C311;C312;C313;C317;C317A;C318_1;C318_2;C318_3;C318_4;C318_5;C318_6;C318_7;C318_T;C328_T;whoraT;C330;C331;C333;C334;P209H;C335;C338;C339_1;C341_T;C342;C344;C345_1;C347_T;C348;C350;C352;C353;C354;C355;C356;C357_I;C358;C359;C361_1;C362_1;C361_2;C362_2;C361_3;C362_3;C361_4;C362_4;C361_5;C362_5;C361_6;C362_6;C361_7;C362_7;C361_8;C362_8;C364_1;C365_1;C364_2;C365_2;C364_3;C365_3;C364_4;C365_4;C366;C366_1;C366_2;C375_1;C375_2;C375_3;C375_4;C375_5;C375_6;C376;C377;OCUP300;D341_T;D344;D347_T;D350;D351_T;I339_1;I342;I345_1;I348;INGTOT;INGTOTP;ingtrabw;RESIDENT;FAC_T300
2023;4;1;1;2.02E+22;24512;1;22;1;1;1;1;2; ;2;48;1;1;6;1;1975;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;1;1;6; ; ;1;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;5;2; ;2; ;5;2; ;2;2;2;2;2;2;10;1;4; ; ; ; ; ; ; ; ; ; ; ; ;1;964.704.585.210.062
2023;4;1;1;2.02E+24;2558402;1;155;1;1;1;1;2; ;2;66;1;1;2;2;1957;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5213;4781;4; ;2;2;1;3;5;8;8;8;8;8;8;53; ;53;1; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1; ; ;2;2;2;2;2;2;1;1;1; ; ; ; ; ; ; ; ; ;0;0;0;1;588.804.252.335.888
2023;4;1;1;2.02E+24;2558402;1;155;1;2;3;1;2; ;2;49;2;2;24;12;1973;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5212;4721;2; ;2;2;1;1;5;9;9;9;9;9;9;59; ;59;1; ;2; ;2;2; ; ; ;1549;200; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;7;1; ;300; ; ; ; ;1249; ; ;1549;1549;1549;1;588.804.252.335.888
2023;4;1;1;2.02E+24;2558402;1;155;1;3;3;1;2; ;2;48;3;3;13;2;1975;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5213;4781;1; ;2;2;1;3;6;9;9;9;9;9;9;60; ;60;1; ;2; ;2;1; ; ; ;2000;303; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;10;1;1; ;300; ; ; ; ;1931; ; ;2231;2231;2231;1;588.804.252.335.888
2023;4;1;1;2.02E+24;2558402;1;155;1;4;5;1;2; ;1;23;4;4;7;2;2000;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5213;4781;3;5;2;2;1;3;7;8;8;8;8;8;7;54; ;54;1; ;1;1;1;2;2;200; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;8;1; ;2;2;2;2;2;2;10;7;1; ; ; ; ; ;866; ; ; ;866;866;866;1;76.086.480.976.162
2023;4;1;1;2.02E+24;2180902;1;39;1;1;1;1;2; ;2;80;1;1;5;1;1943;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;2; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;6;5; ;2;2;2;2;2;2;1;1;4; ; ; ; ; ; ; ; ; ; ; ; ;1;118.182.508.783.054
2023;4;1;1;2.02E+22;23027;1;13;1;1;1;1;2; ;1;32;1;1;24;7;1990;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4321;2220;3;5;1; ;3;100;0;0;0;0;0;0;0;0; ;66;2;66;2; ;2;2;3;1900;60; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;1;2; ;2; ;2; ;8;2; ;2;2;2;2;2;2;10;7;1;260; ; ; ;882;3800; ; ; ;4060;4060;4942;1;666.118.926.803.243
2023;4;1;1;2.02E+22;23027;1;13;1;2;2;1;2; ;2;30;2;2;31;8;1992;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;5;1;2; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;1;5;2; ;2; ;2; ;9;3; ;2;2;2;2;2;2;10;7;4; ; ; ; ; ; ; ; ; ; ; ; ;1;660.948.900.524.141
2023;4;1;1;2.02E+22;23027;1;13;1;3;3;1;2; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
2023;4;1;1;2.02E+22;23027;1;13;1;4;6;1;2; ;2;54;4;4;6;8;1968;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9629;9609;2; ;3;2;1;1;7;9;9;9;9;9;12;64; ;64;1; ;2; ;2;2; ; ; ;600; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;5;1; ;2;2;2;2;2;2;10;5;1; ; ; ; ; ; ;600; ; ;600;600;600;1;497.170.842.994.572
